,headline,current_price,clean_fee,service_fee,occupancy_fee,guest,bedroom,beds,baths,enhanced_clean,self_checkin,rating,review_number,rating_cleanliness,rating_accuracy,rating_communication,rating_location,rating_check_in,rating_value,cancel_policy,cancel_policy_code,location_approx,location_code,type,type_code,amenity_number,free_P_on_property,private_entrance,pets,kitchen,security_camera,co_alarm,scenic_number,host_join_year,host_review,identity_veified,superhost,response_rate,response_time,res_time_code,additional_language
10809,★The Snazzy Studio★ Downtown★ Warehouse ★District★,164,100,60,66,2,1,2,1,1,1,5,40,4.9,5,5,5,4.9,4.8,48 hours after booking,1,Durham,13,entire home,1,36,1,1,0,1,0,1,0,2020,152,1,1,100,within an hour,1,0
10810,Pleasant Studio Near Duke & Downtown Durham,79,35,27,30,2,1,1,1,1,1,5,5,5,5,4.8,5,5,4.6,48 hours after booking,1,Durham,13,entire home,1,22,0,0,0,0,0,1,0,2021,199,1,0,99,within an hour,1,0
10811,Duke University & Hospital great restaurants Apt 3,100,65,37,41,4,2,2,1,1,1,4.88,26,4.9,5,4.8,5,4.8,4.8,no free cancel,0,Durham,13,entire home,1,36,1,1,0,1,0,1,0,2017,481,1,1,100,within an hour,1,0
10812,*Modern Stay* 0.9 mi to Duke Hospital Free Parking,191,142,0,71,3,1,2,1,1,1,4.4,5,5,4.8,4.8,5,4.6,4.6,48 hours after booking,1,Durham,13,entire home,1,53,0,1,0,1,1,1,0,2021,5,1,0,99,,1,0
10813,Downtown Durham Apartment - Home Away from Home,80,65,32,26,3,1,1,1,1,1,4.91,11,5,5,5,5,5,4.9,48 hours after booking,1,Durham,13,entire home,1,29,1,1,0,1,0,1,0,2019,17,1,1,100,within an hour,1,0
10814,Artsy Charm in a Cheerful Renovated 50s Cottage,202,50,64,70,4,2,2,1,1,0,4.88,179,4.9,4.9,4.9,4.9,4.9,4.8,5 days before check in,4,Durham,13,entire home,1,21,1,0,0,1,1,1,0,2014,1003,1,1,100,within an hour,1,0
10815,Imani Durham Nest at Oakwood,98,85,40,43,7,3,3,2,0,1,4.56,186,4.7,4.8,4.8,4.8,4.9,4.7,no free cancel,0,Durham,13,entire home,1,34,1,1,0,1,0,1,0,2015,708,1,0,98,within an hour,1,0
10816,CHARM & Convenience!! 3Br Cottage-Style Ranch,104,54,37,40,7,3,5,2,1,1,4.87,82,5,5,5,4.9,5,4.8,no free cancel,0,Durham,13,entire home,1,36,1,1,1,1,0,1,0,2016,453,1,1,100,within an hour,1,0
10817,Brand New Luxury 1BD Apartment in the Heart of RTP,121,50.42,30.67,21.38,3,1,1,1,1,1,4.96,37,4.8,4.9,4.9,4.9,4.9,4.8,no free cancel,0,Durham,13,entire home,1,43,1,0,0,1,0,1,0,2021,2,1,0,100,within an hour,1,0
10818,"Cabin Oasis (king bed, pvt. bath, pvt. entrance)",110,40,37,31,2,1,1,1,1,1,4.96,57,4.9,5,5,4.9,5,4.9,1 day before check in,5,Durham,13,room,2,61,0,1,1,1,0,1,0,2015,57,1,1,100,within an hour,1,0
10819,"Nice + Cozy Studio in Durham, steps away from Duke",79,40,28,31,2,1,1,1,0,1,4.5,12,4.5,4.5,4.8,4.9,5,4.7,no free cancel,0,Durham,13,entire home,1,19,0,1,0,0,0,0,0,2021,199,1,0,99,within an hour,1,0
10820,Rockwood Oasis Apartment in Private Home,73,92,41.33,47.38,2,1,1,1,1,1,4.88,167,4.9,4.9,5,4.9,5,4.9,no free cancel,0,Durham,13,entire home,1,57,0,1,0,1,1,1,0,2015,190,1,0,100,within an hour,1,0
10821,Spacious Studio Apartment in RTP - Durham,85,35,29,32,2,1,1,1,1,1,4.95,22,5,5,5,4.9,5,5,1 day before check in,5,Durham,13,entire home,1,53,0,1,0,1,1,1,0,2015,22,1,1,100,within an hour,1,0
10822,Treehouse in the Woods,90,25,29,23,2,1,2,1,1,1,4.97,63,5,4.9,5,4.8,5,5,5 days before check in,4,Durham,13,entire home,1,25,1,0,1,1,0,0,0,2010,63,1,1,100,within a few hours,2,0
10823,Gorgeous Downtown Durham Retreat Sleeps 8,205,165,81,89,8,4,5,2,1,1,4.98,64,5,5,5,4.9,5,5,48 hours after booking,1,Durham,13,entire home,1,38,1,1,0,1,1,1,0,2018,234,1,1,94,within an hour,1,0
10824,Cozy Secluded Accessible West Wing,80,35,28,22,2,1,1,1,1,0,4.96,254,5,5,4.9,4.9,5,4.9,5 days before check in,4,Durham,13,entire home,1,29,1,1,1,1,0,0,1,2014,257,1,1,100,within a few hours,2,0
10825,DOWNTOWN DURHAM STYLISH & CHIC APARTMENT,171,110,64,69,8,2,3,2,1,1,4.75,4,5,5,5,4.8,4.5,4.8,48 hours after booking,1,Durham,13,entire home,1,52,1,0,0,1,1,1,1,2017,66,1,1,100,within an hour,1,0
